time_period,region_name,house_price_avg,house_price_2k,house_price_2k_10k,house_price_10k_50k,house_price_50k_plus,flat_price_avg,flat_price_2k,flat_price_2k_10k,flat_price_10k_50k,flat_price_50k_plus
2020-2022,Vsetín,33074.0,31291,31696,36379,x,38027.0,24945,33841,38998,x
2020-2022,Zlín,36410.0,29792,31947,36873,48982,44561.0,29327,35776,47102,50014
2020-2022,Moravskoslezský kraj,34922.0,31232,34017,33673,45770,34852.0,27265,30947,29096,38848
2020-2022,Bruntál,28289.0,28749,25033,29291,x,26112.0,21097,24035,27031,x
2020-2022,Frýdek-Místek,36350.0,32249,36549,37053,48966,36608.0,31928,34735,31985,38233
2020-2022,Karviná,34328.0,32189,33954,32629,42510,27684.0,-,29719,25097,34877
2020-2022,Nový Jičín,32196.0,31030,31807,35792,x,32619.0,28054,29575,34395,x
2020-2022,Opava,34426.0,31845,31667,35018,46997,37604.0,29821,30273,35871,40397
2020-2022,Ostrava-město,41683.0,35757,36389,x,45412,39119.0,-,35645,x,39231
2021-2023,Hlavní město Praha,102456.0,x,x,x,102456,105082.0,x,x,x,105082
2021-2023,Středočeský kraj,62004.0,56155,73186,58565,60573,51514.0,36679,48074,52049,63516
2021-2023,Benešov,44623.0,43017,47448,44814,x,47791.0,36766,48225,50264,x
2021-2023,Beroun,45022.0,41295,51191,.,x,50239.0,39005,49653,54343,x
2021-2023,Kladno,49761.0,40643,51740,43472,60573,60556.0,41242,49266,52344,63516
2021-2023,Kolín,43293.0,42541,43834,45010,x,49364.0,38328,47805,54573,x
2021-2023,Kutná Hora,43135.0,42059,35043,46934,x,44123.0,31862,41927,45928,x
2021-2023,Mělník,45723.0,42771,52400,45947,x,51812.0,34979,51709,55193,x
2021-2023,Mladá Boleslav,44801.0,42640,49557,44522,x,51964.0,39930,48058,56221,x
2021-2023,Nymburk,42486.0,40429,47179,46140,x,47413.0,37222,45941,50421,x
2021-2023,Praha-východ,87665.0,87884,88594,85054,x,53641.0,46297,51291,58110,x
2021-2023,Praha-západ,85231.0,83117,86409,x,x,49774.0,35953,51125,x,x
2021-2023,Příbram,42466.0,42304,39268,49186,x,46812.0,30774,44275,50252,x
2021-2023,Rakovník,40315.0,38808,60091,51493,x,42512.0,30885,52196,46252,x
2021-2023,Jihočeský kraj,43274.0,39463,40941,46290,75557,45749.0,30236,39018,45012,57993
2021-2023,České Budějovice,51072.0,44938,43118,x,75557,53925.0,31412,41493,x,57993
2021-2023,Český Krumlov,42653.0,42752,42116,44574,x,39985.0,30953,40247,46492,x
2021-2023,Jindřichův Hradec,39643.0,37270,39473,47025,x,39510.0,28603,37062,44334,x
2021-2023,Písek,36648.0,34829,i.d.,49534,x,42332.0,27684,41174,46213,x
2021-2023,Prachatice,36280.0,37150,32353,.,x,34565.0,30740,32782,40290,x
2021-2023,Strakonice,36817.0,35890,33912,44636,x,39420.0,30140,41271,42657,x
2021-2023,Tábor,41606.0,36022,42580,46207,x,41383.0,29576,37135,46364,x
2021-2023,Plzeňský kraj,42055.0,37468,40388,43835,72618,47262.0,31706,39383,42580,57707
2021-2023,Domažlice,36713.0,35017,37661,44655,x,35358.0,27753,35494,42387,x
2021-2023,Klatovy,39190.0,39543,29262,47775,x,41067.0,35114,33292,45646,x
2021-2023,Plzeň-jih,37505.0,35351,40521,x,x,38258.0,31777,38873,x,x
2021-2023,Plzeň-město,63066.0,46578,47528,x,72618,57391.0,38366,48562,x,57707
2021-2023,Plzeň-sever,41504.0,38929,44474,x,x,41012.0,32309,43830,x,x
2021-2023,Rokycany,38137.0,37294,37085,45002,x,42559.0,38345,38726,46020,x
2021-2023,Tachov,36910.0,36129,35181,41673,x,34579.0,28422,35208,38123,x
2021-2023,Karlovarský kraj,35862.0,35381,33948,38599,x,33094.0,26056,27014,34637,x
2021-2023,Cheb,32977.0,32145,30897,35533,x,32485.0,23511,32256,33017,x
2021-2023,Karlovy Vary,40679.0,39141,41103,43518,x,36630.0,30128,27232,38313,x
2021-2023,Sokolov,33943.0,33759,32814,36599,x,25794.0,20882,24698,26728,x
2021-2023,Ústecký kraj,35857.0,34391,34482,37498,50344,33451.0,28777,31403,31953,39236
2021-2023,Děčín,33487.0,35429,29909,34688,x,31650.0,25766,27840,32511,x
2021-2023,Chomutov,37480.0,37055,35522,38033,x,27474.0,31967,.,27411,x
2021-2023,Litoměřice,35670.0,35437,34469,42082,x,42047.0,31249,39055,46120,x
2021-2023,Louny,31900.0,30080,34140,37513,x,34207.0,27062,28128,36074,x
2021-2023,Most,39530.0,34808,36826,37957,51047,29872.0,25807,26114,27663,34543
2021-2023,Teplice,38453.0,35469,39412,40894,x,29799.0,22112,28448,30752,x
2021-2023,Ústí nad Labem,43642.0,38589,39978,x,49827,38995.0,31295,31328,x,39965
2021-2023,Liberecký kraj,43938.0,36269,39699,44324,64920,44210.0,32378,35620,41316,55766
2021-2023,Česká Lípa,38367.0,34096,41197,45189,x,35910.0,27273,33140,37686,x
2021-2023,Jablonec nad Nisou,40890.0,39348,39943,43407,x,41200.0,36005,34662,43212,x
2021-2023,Liberec,49139.0,34982,39517,x,64920,50308.0,32726,35825,x,55766
2021-2023,Semily,38661.0,37103,39131,46669,x,41879.0,30464,40815,49783,x
2021-2023,Královéhradecký kraj,42407.0,38571,38038,38434,66475,44915.0,32780,37412,43036,64219
2021-2023,Hradec Králové,53570.0,40163,40501,x,66475,60751.0,33234,42696,x,64219
2021-2023,Jičín,38293.0,35772,39981,.,x,43179.0,33033,44029,47736,x
2021-2023,Náchod,35953.0,38438,34091,35541,x,36401.0,28165,33882,40121,x
2021-2023,Rychnov nad Kněžnou,38626.0,38361,38583,39266,x,39637.0,33948,38758,47244,x
2021-2023,Trutnov,38872.0,38900,36852,39581,x,38521.0,33546,32422,42176,x
2021-2023,Pardubický kraj,39420.0,36598,39980,39920,69657,47195.0,31471,40045,42597,60644
2021-2023,Chrudim,37368.0,35287,37853,42831,x,39415.0,29946,35981,46791,x
2021-2023,Pardubice,51361.0,44452,48560,x,69657,56218.0,37359,43441,x,60644
2021-2023,Svitavy,36284.0,33800,39344,43074,x,38969.0,29226,41056,40331,x
2021-2023,Ústí nad Orlicí,37034.0,36188,37774,37381,x,38536.0,28831,38600,41192,x
2021-2023,Kraj Vysočina,39036.0,37111,36223,40964,60502,44518.0,31190,38210,46649,52028
2021-2023,Havlíčkův Brod,38176.0,37479,35887,41735,x,38963.0,27398,37968,42733,x
2021-2023,Jihlava,44493.0,37199,36617,x,60502,49034.0,39090,37016,x,52028
2021-2023,Pelhřimov,36168.0,34600,36677,38548,x,39380.0,25205,33197,45110,x
2021-2023,Třebíč,35914.0,35687,33341,43972,x,43595.0,32527,40582,47148,x
2021-2023,Žďár nad Sázavou,39242.0,38922,39628,40446,x,45984.0,33239,41760,49703,x
2021-2023,Jihomoravský kraj,46276.0,39532,41753,41372,71967,62580.0,34479,46578,47380,76704
2021-2023,Blansko,39443.0,37988,40176,44603,x,45631.0,28656,43191,55372,x
2021-2023,Brno-město,71967.0,x,x,x,71967,76704.0,x,x,x,76704
2021-2023,Brno-venkov,44782.0,43932,46169,44375,x,48053.0,39955,49053,51810,x
2021-2023,Břeclav,40790.0,38456,43960,40446,x,47075.0,35637,49976,47007,x
2021-2023,Hodonín,36150.0,34503,35893,39383,x,43691.0,32882,40303,44748,x
2021-2023,Vyškov,40835.0,39252,43909,42156,x,47809.0,38421,47551,52154,x
2021-2023,Znojmo,38913.0,38032,40097,43341,x,43497.0,32186,41266,46947,x
2021-2023,Olomoucký kraj,36044.0,33479,36692,37948,69383,44264.0,28260,37714,40193,59711
2021-2023,Jeseník,31400.0,28797,32105,37306,x,33874.0,22909,28726,37155,x
2021-2023,Olomouc,40837.0,35675,40366,38447,69383,53315.0,28101,41627,40428,59711
2021-2023,Prostějov,35880.0,33520,37441,43050,x,41542.0,31703,37505,43493,x
2021-2023,Přerov,32456.0,32156,32830,32927,x,37673.0,28366,36972,38560,x
2021-2023,Šumperk,35137.0,33750,37264,35583,x,37656.0,27791,36046,40727,x
2021-2023,Zlínský kraj,35544.0,32254,33010,38437,58428,43627.0,30512,39047,44769,53855
2021-2023,Kroměříž,32890.0,31193,32829,38098,x,40291.0,32094,36543,44093,x
2021-2023,Uherské Hradiště,32183.0,30876,31152,36924,x,44002.0,29351,41504,46492,x
2021-2023,Vsetín,36493.0,34242,35388,40160,x,42506.0,29857,38602,43433,x
2021-2023,Zlín,40618.0,33702,34596,39133,58428,49242.0,29873,42190,51782,53855
2021-2023,Moravskoslezský kraj,38753.0,34063,38015,37113,52425,38484.0,29718,34975,32175,43271
2021-2023,Bruntál,31198.0,31205,27676,33275,x,29263.0,23734,27057,30507,x
2021-2023,Frýdek-Místek,40503.0,35815,40798,41324,54106,41328.0,35032,41906,35539,42922
2021-2023,Karviná,37593.0,34488,37782,34963,49897,29653.0,-,30138,27051,37244
2021-2023,Nový Jičín,36402.0,35035,35464,41423,x,36891.0,34360,33218,38775,x
2021-2023,Opava,37336.0,33320,35612,37925,51515,42200.0,30876,35287,39573,45968
2021-2023,Ostrava-město,47733.0,37084,40870,x,52816,43486.0,-,38754,x,43640
