region,type,year,quarter,index_value
Jihomoravský kraj,Byty,2021,4,239.2
Olomoucký kraj,Byty,2021,4,239.7
Zlínský kraj,Byty,2021,4,243.8
Česká republika,Byty,2021,year,221.6
ČR bez Prahy,Byty,2021,year,223.3
Hlavní město Praha,Byty,2021,year,219.3
Středočeský kraj,Byty,2021,year,220.1
Jihočeský kraj,Byty,2021,year,235.7
Plzeňský kraj,Byty,2021,year,211.8
Karlovarský kraj,Byty,2021,year,196.8
Ústecký kraj,Byty,2021,year,276.8
Liberecký kraj,Byty,2021,year,230.6
Královéhradecký kraj,Byty,2021,year,225.3
Pardubický kraj,Byty,2021,year,211
Kraj Vysočina,Byty,2021,year,228.6
Jihomoravský kraj,Byty,2021,year,218.6
Olomoucký kraj,Byty,2021,year,214.2
Zlínský kraj,Byty,2021,year,221.7
Česká republika,Domy,2022,1,218
ČR bez Prahy,Domy,2022,1,221.3
Hlavní město Praha,Domy,2022,1,195.3
Středočeský kraj,Domy,2022,1,232.4
Jihočeský kraj,Domy,2022,1,225.5
Plzeňský kraj,Domy,2022,1,219.5
Karlovarský kraj,Domy,2022,1,192.6
Ústecký kraj,Domy,2022,1,219
Liberecký kraj,Domy,2022,1,214.9
Královéhradecký kraj,Domy,2022,1,224.2
Pardubický kraj,Domy,2022,1,212.6
Kraj Vysočina,Domy,2022,1,221.4
Jihomoravský kraj,Domy,2022,1,224.5
Olomoucký kraj,Domy,2022,1,217.4
Zlínský kraj,Domy,2022,1,198.4
Česká republika,Domy,2022,2,220.4
ČR bez Prahy,Domy,2022,2,223.9
Hlavní město Praha,Domy,2022,2,195.7
Středočeský kraj,Domy,2022,2,234.5
Jihočeský kraj,Domy,2022,2,225.9
Plzeňský kraj,Domy,2022,2,232.2
Karlovarský kraj,Domy,2022,2,185.8
Ústecký kraj,Domy,2022,2,226.5
Liberecký kraj,Domy,2022,2,222.8
Královéhradecký kraj,Domy,2022,2,214.3
Pardubický kraj,Domy,2022,2,212.9
Kraj Vysočina,Domy,2022,2,214
Jihomoravský kraj,Domy,2022,2,226.9
Olomoucký kraj,Domy,2022,2,223.7
Zlínský kraj,Domy,2022,2,205.2
Česká republika,Domy,2022,3,222.2
ČR bez Prahy,Domy,2022,3,226.2
Hlavní město Praha,Domy,2022,3,194.2
