region,year,price,type
Brno-venkov,2023,48034,Rodinné domy
Břeclav,2023,43764,Rodinné domy
Hodonín,2023,37517,Rodinné domy
Vyškov,2023,43102,Rodinné domy
Znojmo,2023,44419,Rodinné domy
Olomoucký kraj,2023,38418,Rodinné domy
Jeseník,2023,33760,Rodinné domy
Olomouc,2023,46780,Rodinné domy
Prostějov,2023,37939,Rodinné domy
Přerov,2023,34180,Rodinné domy
Šumperk,2023,36311,Rodinné domy
Zlínský kraj,2023,37219,Rodinné domy
Kroměříž,2023,34785,Rodinné domy
Uherské Hradiště,2023,33049,Rodinné domy
Vsetín,2023,39261,Rodinné domy
Zlín,2023,42755,Rodinné domy
Moravskoslezský kraj,2023,41462,Rodinné domy
Bruntál,2023,34733,Rodinné domy
Frýdek-Místek,2023,42853,Rodinné domy
Karviná,2023,38069,Rodinné domy
Nový Jičín,2023,40521,Rodinné domy
Opava,2023,38791,Rodinné domy
Ostrava-město,2023,53006,Rodinné domy
Česká republika,2019,38345,Rodinné domy
Hlavní město Praha,2019,79275,Rodinné domy
Středočeský kraj,2019,49122,Rodinné domy
Benešov,2019,36560,Rodinné domy
Beroun,2019,40166,Rodinné domy
Kladno,2019,40004,Rodinné domy
Kolín,2019,34387,Rodinné domy
Kutná Hora,2019,33425,Rodinné domy
Mělník,2019,37712,Rodinné domy
Mladá Boleslav,2019,37245,Rodinné domy
Nymburk,2019,32809,Rodinné domy
Praha-východ,2019,66825,Rodinné domy
Praha-západ,2019,65009,Rodinné domy
Příbram,2019,34790,Rodinné domy
Rakovník,2019,31580,Rodinné domy
Jihočeský kraj,2019,34286,Rodinné domy
České Budějovice,2019,39909,Rodinné domy
Český Krumlov,2019,32964,Rodinné domy
Jindřichův Hradec,2019,30353,Rodinné domy
Písek,2019,28880,Rodinné domy
Prachatice,2019,29999,Rodinné domy
Strakonice,2019,31575,Rodinné domy
Tábor,2019,31469,Rodinné domy
Plzeňský kraj,2019,34428,Rodinné domy
Domažlice,2019,29233,Rodinné domy
Klatovy,2019,30542,Rodinné domy
Plzeň-jih,2019,29135,Rodinné domy
Plzeň-město,2019,48805,Rodinné domy
Plzeň-sever,2019,33541,Rodinné domy
Rokycany,2019,30103,Rodinné domy
Tachov,2019,30403,Rodinné domy
Karlovarský kraj,2019,29064,Rodinné domy
Cheb,2019,27810,Rodinné domy
Karlovy Vary,2019,32440,Rodinné domy
Sokolov,2019,26929,Rodinné domy
Ústecký kraj,2019,28891,Rodinné domy
Děčín,2019,27202,Rodinné domy
Chomutov,2019,29526,Rodinné domy
Litoměřice,2019,27472,Rodinné domy
Louny,2019,26071,Rodinné domy
Most,2019,33113,Rodinné domy
Teplice,2019,31207,Rodinné domy
Ústí nad Labem,2019,36293,Rodinné domy
Liberecký kraj,2019,34746,Rodinné domy
Česká Lípa,2019,30188,Rodinné domy
Jablonec nad Nisou,2019,31778,Rodinné domy
Liberec,2019,39595,Rodinné domy
Semily,2019,30091,Rodinné domy
Královéhradecký kraj,2019,33636,Rodinné domy
Hradec Králové,2019,41678,Rodinné domy
Jičín,2019,28592,Rodinné domy
Náchod,2019,28095,Rodinné domy
Rychnov nad Kněžnou,2019,30599,Rodinné domy
Trutnov,2019,31565,Rodinné domy
Pardubický kraj,2019,32015,Rodinné domy
Chrudim,2019,29526,Rodinné domy
Pardubice,2019,40097,Rodinné domy
Svitavy,2019,29424,Rodinné domy
Ústí nad Orlicí,2019,29522,Rodinné domy
Kraj Vysočina,2019,31856,Rodinné domy
Havlíčkův Brod,2019,30841,Rodinné domy
Jihlava,2019,36151,Rodinné domy
Pelhřimov,2019,30999,Rodinné domy
Třebíč,2019,28918,Rodinné domy
Žďár nad Sázavou,2019,31381,Rodinné domy
Jihomoravský kraj,2019,37365,Rodinné domy
Blansko,2019,32507,Rodinné domy
